"",,,,Art.116/5-8-12,Art.417F,Art.415,,Art.317,,Art.237/50,,
COLOR DESCRIPTION,AND,Art.117,Art.115/3- 5,,,,Art.1008F  SATIN,,Art. CIM09,,Art.5238A,Art.486 TAPESTRY
"",,,,PEARL,FLOSS,PEARL,,LIGHT EFFECTS,,MACHINE,,
SWATCH,,FLOSS,PEARL COTTON,,,,FLOSS,,MEMORY THREAD,,FLOCHE,WOOL
"",,,,COTTON,VARIATIONS,VARIATIONS,,FLOSS,,EMBROIDERY,,
Ecru,,Ecru,ecru,"ecru (5,8,12)",,,,,,ecru,ecru,ecru
White,,White,white,"white (5,8,12)",,,,,,blanc,blanc,blanc
Snow White,,B5200,B5200,"B5200 (5,8,12)",,,S5200,E5200,6240 (white luster),B5200,B5200,
Variegated Baby Pink,,48,,,,,,,,48,,
Variegated Burnt Oranges,,51,,,,,,,,51,,
Variegated Violet,,52,,,,,,,,52,,
Variegated Steel Gray,,53,,,,,,,,53,,
Variegated Baby Blue,,67,,,,,,,,67,,
Variegated Terra Cotta,,69,,,,,,,,69,,
Variegated Yellow,,90,,,,,,,,90,,
Variegated Avocado,,92,,,,,,,,92,,
Variegated Cornflower Blue,,93,,,,,,,,93,,
Variegated Khaki Green,,94,,,,,,,,94,,
Variegated Mauve,,99,,,,,,,,99,,
Variegated Tan/Brown,,105,,,,,,,,105,,
Variegated Coral,,106,,,,,,,,106,,
Variegated Carnation,,107,,,,,,,,107,,
Variegated Mustard,,111,,,,,,,,111,,
Variegated Garnet,,115,,,,,,,,115,,
Variegated Delft Blue,,121,,,,,,,,121,,
Variegated Seafoam Green,,125,,,,,,,,125,,
Gemstone (LE),,,,,,,,E130 (gemstone),,,,
Golden Dawn (LE),,,,,,,,E135 (golden dawn),,,,
Ultra V DK Dusty Rose,,150,,,,,,,,,,
V LT Dusty Rose,,151,,,,,,,,,,
MD LT Shell Pink,,152,,,,,,,,,,7223
V LT Violet,,153,,,,,,,,,,
V DK Grape,,154,,,,,,,,,,7016
MD DK Blue Violet,,155,,,,,,E155 (amethyst),6180 (lavender),,,"7026, 7241"
MD LT Blue Violet,,156,,,,,,,,,,7020
V LT Cornflower Blue,,157,,,,,,,,,,7031
MD V DK Cornflower Blue,,158,,,,,,,,,,
LT Gray Blue,,159,,,,,,,,,,7284
MD Gray Blue,,160,,,,,,,,,,7555
Gray Blue,,161,,,,,,,,,,
Ultra V LT Blue,,162,,,,,,,,,,7800
MD Celadon Green,,163,,,,,,,,,,
LT Forest Green,,164,,,,,,,,,,7041
V LT Moss Green,,165,,,,,,,,218,,
MD LT Moss Green,,166,,,,,,,,,,7548
V DK Yellow Beige,,167,,,,,,,,,,
V LT Pewter (silver),,168,,,,,,E168 (silver),,,,7292
LT Pewter,,169,,,,,,,,,,7285
V DK LaVender,,208,208,,,,,,,,208,7025
DK LaVender,,209,209,209 (8),,,,,,209,,7896
MD LaVender,,210,210,210 (8),,,,,,210,210,7024
LT LaVender,,211,211,"211 (8, 12)",,,S211,E211 (lilac),,211,,
"",,,,,,Art.415,,Art.317,,Art.237/50,,
